relative_time,AccX,AccY,AccZ,DecibelSource
259162,8.8280419921875,2.5679100036621096,4.682412872314454,62.271930786839455
259223,8.594677276611328,2.52195556640625,4.1903860473632815,66.43583734680212
259289,8.829838256835938,2.6575735473632816,3.5546580505371095,65.0780596542529
259362,8.966953125,2.7602600097656254,4.420008544921875,67.11290744082112
259423,8.893306274414062,2.8791128540039064,4.910089416503906,64.12204599492074
259489,8.903335418701172,2.6304798889160157,4.196074218750001,62.68390267438129
259561,8.991951141357422,2.5716522216796878,4.559518432617188,64.22114416258769
259623,8.68239486694336,2.6423052978515624,3.6946170043945314,60.602153166998775
259689,8.388406219482423,2.5602758789062503,4.04518798828125,62.80810250842117
259761,8.666677551269531,2.521656188964844,4.666845245361328,67.07231038554094
259823,8.660989379882812,2.412832489013672,3.982318725585938,68.60588926330014
259889,8.591084747314454,2.3402334594726564,3.9547760009765627,64.19336892247075
259958,8.822204132080078,2.714305572509766,4.319118347167969,69.52589773420242
260023,8.550369415283203,2.709814910888672,4.487967224121094,70.62397849459578
260089,8.780291290283204,2.4574397277832034,4.7364505004882815,59.66656477349845
260162,8.599317626953125,2.6744883728027347,3.3224908447265626,67.49890841271421
260223,8.799601135253907,2.5342300415039065,4.694537658691407,62.75812404809585
260289,8.674311676025392,2.5979974365234377,4.879852294921875,72.06943308487456
260362,8.42522964477539,2.6241929626464846,4.448299713134766,58.31354583613088
260423,8.121361541748048,2.4508534240722657,4.407734069824219,67.45936666478246
260489,8.5885400390625,2.460882568359375,4.091741180419922,65.1961131731925
260562,8.671617279052734,2.5303381347656253,4.743036804199219,63.35379660456014
260623,8.767567749023438,2.5259971618652344,4.573738861083984,57.18798867138168
260689,8.41894271850586,2.6086253356933593,4.280798034667969,71.28783985290178
260761,8.524473266601563,2.58422607421875,4.642445983886719,67.60965163123915
260823,8.357720031738282,2.535277862548828,4.355792083740234,71.0000768874711
260889,8.904832305908204,2.7431954956054687,4.989723815917969,63.093190245067305
260961,8.529862060546876,2.5402175903320314,4.1147932434082035,61.76897140509614
261023,7.9098513793945315,2.548899536132813,3.680845642089844,62.25997145152607
261089,8.935368804931642,2.598296813964844,4.057761840820313,66.30946074706625
261162,7.811655578613282,2.62494140625,4.583019561767578,64.59271682806234
261223,8.72071517944336,2.697989501953125,5.679788818359375,62.66000607493747
261289,8.482261047363282,2.54830078125,3.7950581359863285,65.82394528271305
261362,8.89555160522461,2.530188446044922,4.615801391601563,63.23318322452107
261423,8.528963928222657,2.569706268310547,3.9243891906738284,69.89338559953286
261489,8.419391784667969,2.4264541625976563,5.325625305175781,66.25456814443365
261562,8.837771759033204,2.6638604736328126,4.041146392822266,64.73708950940166
261623,8.694220275878907,2.431992645263672,3.819457397460938,68.27756540130979
261689,8.48839828491211,2.601140899658203,4.558620300292969,66.48664398395456
261761,8.545579376220704,2.6129663085937502,4.462819519042969,68.54933280823751
261823,8.428822174072266,2.511028289794922,4.50263671875,57.77016985695904
261889,8.491541748046876,2.609373779296875,4.548142089843751,62.17399972496544
261961,8.631201324462891,2.4956103515625,4.053720245361328,62.171561255940674
262023,8.654403076171876,2.6997857666015626,4.176464996337891,57.38652945920681
262089,8.623118133544923,2.681374053955078,5.248685302734375,56.449513646909956
262162,8.383167114257812,2.5512945556640627,4.365222473144532,68.77207792260617
262223,8.366102600097657,2.484533386230469,3.9380108642578127,69.2905790253127
262289,8.276888122558594,2.621498565673828,4.200115814208985,63.87531660840412
262362,7.916587371826172,2.6960435485839844,4.730762329101562,60.605852868520444
262423,8.308472442626954,2.3846910095214846,5.4883369445800785,55.370505324219444
262489,8.396788787841798,2.431693267822266,4.52943099975586,59.83671382860196
262562,8.525820465087891,2.671793975830078,5.003046112060547,65.91045898553554
262623,7.943381652832032,2.5918601989746093,4.435576171875001,66.08364266197793
262689,8.805588684082032,2.8734246826171876,4.4985951232910155,59.10633474826668
262762,8.079748077392578,2.4539968872070315,4.891827392578125,67.79575497445722
262823,8.258626098632813,2.424957275390625,4.17017807006836,62.84922505319556
262889,8.186775512695313,2.6768833923339845,4.361629943847657,59.072893326827185
262961,8.545579376220704,2.6662554931640625,5.40121810913086,66.01347272451046
263023,8.849447479248047,2.400857391357422,4.851261749267579,57.71134579157349
263089,8.875193939208986,2.604284362792969,4.609963531494141,58.86052261296744
263158,8.64796646118164,2.662213897705078,4.4318339538574225,62.30669589091207
263223,8.618328094482422,2.7663972473144534,4.362677764892578,65.49697210433749
263289,7.973768463134766,2.645149383544922,4.801714782714844,60.122228750764094
263364,8.453221435546876,2.5956024169921874,4.204905853271485,64.40450155464467
263423,8.171956329345704,2.489323425292969,4.036356353759766,62.47758519677579
263489,8.916058959960939,2.541864166259766,4.647535400390625,62.020772593027836
263562,7.795040130615234,2.612816619873047,4.765639801025391,64.71136745924025
263623,8.254135437011719,2.694696350097656,5.401667175292969,64.55048854305976
263689,8.530311126708984,2.769690399169922,4.2152343750000005,66.84663619836093
263762,8.163424072265625,2.355352020263672,3.729195098876953,64.44054481514344
263823,8.228239288330078,2.3378384399414065,4.875661010742188,62.14934934410788
263889,8.601562957763672,2.6060806274414063,4.873715057373047,59.645278574036
263961,8.231382751464844,2.389031982421875,3.4347573852539064,62.567102912463206
264023,9.039552154541017,2.5403672790527345,4.465513916015626,65.9984302347472
264089,8.363707580566407,2.4122337341308593,3.404071197509766,66.46689893746424
264161,8.674461364746094,2.6578729248046877,4.4387196350097655,59.97395122628959
264223,8.598419494628907,2.6217979431152343,4.581372985839844,60.16301103191691
264289,8.841663665771485,2.6171575927734376,4.156556396484375,59.56443140524985
264357,8.785979461669923,2.475402374267578,3.9639070129394534,62.283980486198296
264423,8.650810546875,2.605182495117188,3.6444712829589845,62.10201300691778
264489,8.463849334716798,2.6795777893066406,4.630620574951172,66.52404360622305
264558,8.53869369506836,2.365381164550781,4.336033172607422,57.47638607311971
264623,8.338859252929687,2.32556396484375,3.8446051025390626,59.31327664536092
264689,8.441096649169923,2.5233027648925783,3.8949005126953127,61.4104507957396
264759,8.775950317382813,2.5629702758789064,4.138444061279297,58.614621219925894
264823,8.615184631347656,2.443967742919922,4.440964965820313,65.23459139296966
264889,8.697064361572266,2.501448211669922,5.2066227722167975,68.88093356859204
264958,8.679700469970703,2.581381988525391,3.9269338989257814,65.80331262219023
265023,8.672964477539063,2.5497976684570314,3.709436187744141,71.60282197727454
265089,8.87639144897461,2.69439697265625,4.254153442382813,68.97623517966713
265161,8.514743499755859,2.448608093261719,4.735851745605469,65.5251016255645
265223,9.188791809082032,2.571951599121094,4.368216247558594,67.54174812638048
